card_number,price,title,rarity,store,set_name,condition,stock,available_variants,url
OP01-017,3140.0,Nico Robin (English Version 1st Anniversary Set) [One Piece Promotion Cards],Rare,Big Bang Shop,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R3140.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/nico-robin-english-version-1st-anniversary-set-one-piece-promotion-cards
OP01-035,1090.0,Okiku (SP) [500 Years in the Future],Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R1090.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/okiku-sp-500-years-in-the-future
OP02-001,659.0,Edward.Newgate (Special Goods Set -Former Four Emperors-) [One Piece Promotion Cards],Leader,Knightly Gaming,One Piece Promotion Cards,Near Mint Foil,In stock,Near Mint Foil R659.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/edward-newgate-special-goods-set-former-four-emperors-one-piece-promotion-cards
OP03-114,1130.0,Charlotte Linlin (SP) [Wings of the Captain],Super Rare,Big Bang Shop,Wings of the Captain,Near Mint Foil,In stock,Near Mint Foil R1130.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/charlotte-linlin-sp-wings-of-the-captain
OP05-074,322.0,"Eustass""Captain""Kid (OP05-074) (Alternate Art) [Premium Booster -The Best-]",Super Rare,Knightly Gaming,Premium Booster -The Best-,Near Mint Foil,In stock,Near Mint Foil R322.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/eustasscaptainkid-op05-074-alternate-art-premium-booster-the-best
OP06-101,30.0,O-Nami | OP06-101 | OP-06 Wings of the Captain,,Marvellous Hobbies,,,2 in stock,2 in stock,https://marvelloushobbies.com/product/o-nami-op06-101-op-06-wings-of-the-captain/
OP06-115,525.0,You're the One Who Should Disappear (Alternate Art) [Premium Booster -The Best- Vol. 2],Rare,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R525.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/youre-the-one-who-should-disappear-alternate-art-premium-booster-the-best-vol-2
OP06-115,585.0,You're the One Who Should Disappear (Alternate Art) [Premium Booster -The Best- Vol. 2],Rare,Big Bang Shop,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R585.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/youre-the-one-who-should-disappear-alternate-art-premium-booster-the-best-vol-2
OP07-072,55.0,Porche [500 Years in the Future],Super Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R55.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/porche-500-years-in-the-future
OP07-085,290.0,Stussy (Parallel) [500 Years in the Future],Super Rare,Big Bang Shop,500 Years in the Future,Near Mint Foil,In stock,Near Mint Foil R290.00,https://bigbangshop.co.za/collections/one-piece-single-cards/products/stussy-parallel-500-years-in-the-future
OP08-087,1.0,Scratchmen Apoo (OP08-087) (Reprint) [Premium Booster -The Best- Vol. 2],Uncommon,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint,In stock,Near Mint R1.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/scratchmen-apoo-op08-087-reprint-premium-booster-the-best-vol-2
OP08-087,1.0,Scratchmen Apoo [Two Legends],Uncommon,Knightly Gaming,Two Legends,Near Mint,In stock,Near Mint R1.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/scratchmen-apoo-two-legends
OP08-087,3.0,Scratchmen Apoo (OP08-087) (Pirate Foil) [Premium Booster -The Best- Vol. 2],Uncommon,Knightly Gaming,Premium Booster -The Best- Vol. 2,Near Mint Foil,In stock,Near Mint Foil R3.00,https://www.knightlygaming.co.za/collections/one-piece-singles/products/scratchmen-apoo-op08-087-pirate-foil-premium-booster-the-best-vol-2
OP08-087,5.0,Scratchmen Apoo – OP08-087 – Two Legends (OP08),,Marvellous Hobbies,,,6 in stock,6 in stock,https://marvelloushobbies.com/product/scratchmen-apoo-two-legends-op08/
